month,platform,query_id,alice_mentioned,jay_mentioned,hair_science_mentioned,alice_domain_cited,third_party_cited,citation_urls,entity_relationship_correct,notes
2026-09,ChatGPT,G01,,,,,,,,
2026-09,ChatGPT,G02,,,,,,,,
2026-09,ChatGPT,G03,,,,,,,,
2026-09,ChatGPT,G04,,,,,,,,
2026-09,ChatGPT,G05,,,,,,,,
2026-09,ChatGPT,G06,,,,,,,,
2026-09,ChatGPT,G07,,,,,,,,
2026-09,ChatGPT,G08,,,,,,,,
2026-09,ChatGPT,G09,,,,,,,,
2026-09,ChatGPT,G10,,,,,,,,
2026-09,ChatGPT,G11,,,,,,,,
2026-09,ChatGPT,G12,,,,,,,,
2026-09,ChatGPT,G13,,,,,,,,
2026-09,ChatGPT,G14,,,,,,,,
2026-09,ChatGPT,G15,,,,,,,,
2026-09,ChatGPT,G16,,,,,,,,
2026-09,ChatGPT,G17,,,,,,,,
2026-09,ChatGPT,G18,,,,,,,,
2026-09,ChatGPT,G19,,,,,,,,
2026-09,ChatGPT,G20,,,,,,,,
2026-09,ChatGPT,G21,,,,,,,,
2026-09,ChatGPT,G22,,,,,,,,
2026-09,ChatGPT,G23,,,,,,,,
2026-09,ChatGPT,G24,,,,,,,,
